
45,Bachelor of Hotel and Hospitality Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
46,Bachelor of International Tourism Management,"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
47,Bachelor of Science (Hospitality and Tourism Management),"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
48,Bachelor of Science (Tourism Management),"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
49,Bachelor of Science in Hospitality Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
50,Bachelor of Technology (Institutional Catering and Accommodation),"English, Kiswahili, Mathematics, Business Studies, Home Science","Customer service, Communication, Practical skills, Problem-solving"
51,Bachelor of Technology in Hotel & Hospitality Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
52,Bachelor of Tourism Management,"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
53,Bachelor of Travel and Tours Operations Management,"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
54,Bachelor of Science (Food Operations Management),"English, Kiswahili, Mathematics, Home Science, Biology","Customer service, Communication, Nutrition knowledge, Problem-solving"
55,Bachelor of Science in Food Service and Hospitality Management,"English, Kiswahili, Mathematics, Home Science, Biology","Customer service, Communication, Nutrition knowledge, Problem-solving"
56,Bachelor of Science (Food Service and Hospitality Management),"English, Kiswahili, Mathematics, Home Science, Biology","Customer service, Communication, Nutrition knowledge, Problem-solving"
57,Bachelor of Applied Communication,"English, Kiswahili, Mathematics, Computer Studies, Business Studies","Communication, Media literacy, Technology proficiency, Problem-solving"
58,Bachelor of Arts (Applied Linguistics),"English, Kiswahili, Mathematics, Computer Studies, History and Government","Language analysis, Communication, Research skills, Cultural awareness"
59,Bachelor of Arts (Communication & Media),"English, Kiswahili, Mathematics, Computer Studies, Business Studies","Communication, Media literacy, Technology proficiency, Problem-solving"
60,Bachelor of Arts (Drama and Theatre Studies, With IT),"English, Kiswahili, Mathematics, Art and Design, Computer Studies","Creativity, Communication, Performance skills, Technology proficiency"
61,Bachelor of Arts (International Relations and Diplomacy, With IT),"English, Kiswahili, Mathematics, History and Government, Computer Studies","Diplomacy, Communication, Cultural awareness, Technology proficiency"
62,Bachelor of Arts (International Relations and Diplomacy),"English, Kiswahili, Mathematics, History and Government","Diplomacy, Communication, Cultural awareness, Problem-solving"
63,Bachelor of Arts in Government and International Relations,"English, Kiswahili, Mathematics, History and Government","Diplomacy, Communication, Cultural awareness, Problem-solving"
64,Bachelor of Arts in International Relations,"English, Kiswahili, Mathematics, History and Government","Diplomacy, Communication, Cultural awareness, Problem-solving"
65,Bachelor of Arts (Language and Communication, With IT),"English, Kiswahili, Mathematics, Computer Studies, History and Government","Language analysis, Communication, Technology proficiency, Problem-solving"
66,Bachelor of Broadcast Journalism,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
67,Bachelor of Arts (Linguistics, Media and Communication),"English, Kiswahili, Mathematics, Computer Studies, History and Government","Language analysis, Communication, Media literacy, Technology proficiency"
68,Bachelor of Journalism,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Problem-solving"
69,Bachelor of Journalism and Mass Communication,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
70,Bachelor of Corporate Communication and Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Communication, Leadership, Strategic thinking, Technology proficiency"
71,Bachelor of Arts (Literature, With IT),"English, Kiswahili, Mathematics, Art and Design, Computer Studies","Creativity, Communication, Critical thinking, Technology proficiency"
72,Bachelor of Arts (Literature),"English, Kiswahili, Mathematics, Art and Design","Creativity, Communication, Critical thinking, Cultural awareness"
73,Bachelor of Arts in Linguistics and Literature,"English, Kiswahili, Mathematics, Art and Design, History and Government","Language analysis, Communication, Critical thinking, Cultural awareness"
74,Bachelor of Arts (Theatre Arts & Film Technology),"English, Kiswahili, Mathematics, Art and Design, Computer Studies","Creativity, Communication, Performance skills, Technology proficiency"
75,Bachelor of Arts (Translation and Interpretation),"English, Kiswahili, Mathematics, History and Government","Language analysis, Communication, Cultural awareness, Problem-solving"
76,Bachelor of Communication & Journalism,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
77,Bachelor of Film Animation,"English, Kiswahili, Mathematics, Art and Design, Computer Studies","Creativity, Communication, Technical skills, Problem-solving"
78,Bachelor of Film Production and Animation,"English, Kiswahili, Mathematics, Art and Design, Computer Studies","Creativity, Communication, Technical skills, Problem-solving"
79,Bachelor of Communication and Media Studies,"English, Kiswahili, Mathematics, Computer Studies, Business Studies","Communication, Media literacy, Technology proficiency, Problem-solving"
80,Bachelor of Arts in Mass Communication,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
81,Bachelor of Science in Mass Communication,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
82,Bachelor of Mass Communication,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
83,Bachelor of Arts in Communication and Journalism,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Communication, Media literacy, Research skills, Technology proficiency"
84,Bachelor of Arts in Communication Studies,"English, Kiswahili, Mathematics, Computer Studies, Business Studies","Communication, Media literacy, Technology proficiency, Problem-solving"
85,Bachelor of Laws (LL.B),"English, Kiswahili, Mathematics, History and Government, Law","Critical thinking, Debating, Legal analysis, Communication"
86,Bachelor of Project Planning and Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Project management, Strategic planning, Communication, Problem-solving"
87,Bachelor of Hotel & Hospitality Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
88,Bachelor of Science (Project Planning Management),"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Project management, Strategic planning, Communication, Problem-solving"
89,Bachelor of Science in Project Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Project management, Strategic planning, Communication, Problem-solving"
90,Bachelor of Human Resources Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Communication, Conflict resolution, Organizational skills"
90,Bachelor of Hotel Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
91,Bachelor of Hotels and Hospitality Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
92,Bachelor of Catering & Hospitality Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
93,Bachelor of Science (Ecotourism & Hospitality Management),"English, Kiswahili, Mathematics, Geography, Biology","Customer service, Communication, Environmental awareness, Problem-solving"
94,Bachelor of Science in Ecotourism,"English, Kiswahili, Mathematics, Geography, Biology","Customer service, Communication, Environmental awareness, Problem-solving"
95,Bachelor of Eco-tourism and Hospitality Management,"English, Kiswahili, Mathematics, Geography, Biology","Customer service, Communication, Environmental awareness, Problem-solving"
96,Bachelor of Science (Eco-tourism, Hotel and Institution Management, With IT),"English, Kiswahili, Mathematics, Geography, Computer Studies","Customer service, Communication, Environmental awareness, Technology proficiency"
97,Bachelor of Science (Hospitality & Tourism Management),"English, Kiswahili, Mathematics, Geography, Business
98,Bachelor of Human Resource Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Communication, Conflict resolution, Organizational skills"
99,Bachelor of Science in Human Resource Management, With IT,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Communication, Conflict resolution, Technology proficiency"
100,Bachelor of Science (Human Resource Management),"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Communication, Conflict resolution, Organizational skills"
101,Bachelor of Science (Geomatic & Geospatial Information Systems),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Problem-solving, Technical design, Data interpretation"
102,Bachelor of Applied Science (Geo-informatics),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Problem-solving, Technical design, Data interpretation"
103,Bachelor of Science (Geospatial Information Science and Remote Sensing),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Remote sensing, Problem-solving, Data interpretation"
104,Bachelor of Science (Geomatic Engineering and Geospatial Information Systems),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Technical design, Problem-solving, Data interpretation"
105,Bachelor of Science (Geospatial Information Science, With IT),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Programming, Problem-solving, Data interpretation"
106,Bachelor of Technology (Geospatial Engineering Technology),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Technical design, Problem-solving, Data interpretation"
107,Bachelor of Technology (Geoinformation Technology),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Programming, Problem-solving, Data interpretation"
108,Bachelor of Science (Geospatial Information Science),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Problem-solving, Technical design, Data interpretation"
109,Bachelor of Science (Geospatial Engineering),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Technical design, Problem-solving, Data interpretation"
110,Bachelor of Science in Geospatial Information Science,"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Problem-solving, Technical design, Data interpretation"
111,Bachelor of Engineering (Geospatial Engineering),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Technical design, Problem-solving, Data interpretation"
112,Bachelor of Science (Spatial Management),"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Problem-solving, Technical design, Data interpretation"
113,Bachelor of Science in Geomatic Engineering and Geospatial Information Systems,"Mathematics, Physics, Geography, Computer Studies","Geospatial analysis, Technical design, Problem-solving, Data interpretation"
114,Bachelor of Engineering (Aeronautical Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Aerodynamics, Technical design, Problem-solving, Innovation"
115,Bachelor of Engineering (Chemical and Process Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Chemical analysis, Process design, Problem-solving, Innovation"
116,Bachelor of Engineering (Civil & Structural Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Structural design, Problem-solving, Technical drawing, Innovation"
117,Bachelor of Engineering (Civil and Structural Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Structural design, Problem-solving, Technical drawing, Innovation"
118,Bachelor of Engineering (Civil Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Structural design, Problem-solving, Technical drawing, Innovation"
119,Bachelor of Engineering (Electrical and Electronics Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
120,Bachelor of Engineering (Electrical and Electronic Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
121,Bachelor of Engineering (Electrical and Telecommunication Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Telecommunication systems, Problem-solving, Technical skills, Innovation"
122,Bachelor of Engineering (Mechanical & Production Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Mechanical design, Problem-solving, Technical skills, Innovation"
123,Bachelor of Engineering (Mechanical and Production Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Mechanical design, Problem-solving, Technical skills, Innovation"
124,Bachelor of Engineering (Mechanical Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Mechanical design, Problem-solving, Technical skills, Innovation"
125,Bachelor of Engineering (Industrial and Textile Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Industrial design, Problem-solving, Technical skills, Innovation"
126,Bachelor of Science (Electrical and Electronic Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
127,Bachelor of Science (Mechatronic Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Robotics, Problem-solving, Technical skills, Innovation"
128,Bachelor of Science (Aerospace Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Aerodynamics, Problem-solving, Technical skills, Innovation"
129,Bachelor of Science in Electrical and Electronics Engineering,"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
130,Bachelor of Engineering (Chemical Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Chemical analysis, Process design, Problem-solving, Innovation"
131,Bachelor of Science (Electrical & Electronics Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
132,Bachelor of Science (Marine Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Marine systems, Problem-solving, Technical skills, Innovation"
133,Bachelor of Science in Water and Environmental Engineering,"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
134,Bachelor of Science in Marine Engineering,"Mathematics, Physics, Chemistry, Computer Studies","Marine systems, Problem-solving, Technical skills, Innovation"
135,Bachelor of Science (Agricultural Engineering),"Mathematics, Physics, Chemistry, Agriculture","Agricultural systems, Problem-solving, Technical skills, Innovation"
136,Bachelor of Science (Petroleum Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Petroleum systems, Problem-solving, Technical skills, Innovation"
137,Bachelor of Science in Mining and Mineral Process Engineering,"Mathematics, Physics, Chemistry, Computer Studies","Mining systems, Problem-solving, Technical skills, Innovation"
141,Bachelor of Science (Analytical Chemistry With Management),"Mathematics, Physics, Chemistry, Business Studies","Analytical skills, Problem-solving, Management, Communication"
142,Bachelor of Science (Industrial Chemistry With Management),"Mathematics, Physics, Chemistry, Business Studies","Analytical skills, Problem-solving, Management, Communication"
143,Bachelor of Science in Analytical Chemistry,"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Research"
144,Bachelor of Science (Industrial Chemistry, With IT),"Mathematics, Physics, Chemistry, Computer Studies","Analytical skills, Problem-solving, Programming, Laboratory techniques"
145,Bachelor of Science (Analytical Chemistry),"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Research"
146,Bachelor of Science in Industrial Chemistry,"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Research"
147,Bachelor of Science in Analytical Chemistry With Computing,"Mathematics, Physics, Chemistry, Computer Studies","Analytical skills, Problem-solving, Programming, Laboratory techniques"
148,Bachelor of Science (Industrial Chemistry),"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Research"
149,Bachelor of Science Chemistry (Inorganic, Physical and Organic Options),"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Research"
150,Bachelor of Science (Petroleum Chemistry),"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Research"
151,Bachelor of Technology in Applied Chemistry (Analytical & Industrial Options),"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Innovation"
152,Bachelor of Technology (Industrial and Applied Chemistry),"Mathematics, Physics, Chemistry","Analytical skills, Problem-solving, Laboratory techniques, Innovation"
153,Bachelor of Science (Control and Instrumentation),"Mathematics, Physics, Chemistry, Computer Studies","Instrumentation design, Problem-solving, Technical skills, Innovation"
154,Bachelor of Science (Renewable Energy and Environmental Physics),"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
155,Bachelor of Science Instrumentation & Control,"Mathematics, Physics, Chemistry, Computer Studies","Instrumentation design, Problem-solving, Technical skills, Innovation"
156,Bachelor of Science in Renewable Energy and Environmental Physics,"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
157,Bachelor of Science in Control and Instrumentation,"Mathematics, Physics, Chemistry, Computer Studies","Instrumentation design, Problem-solving, Technical skills, Innovation"
158,Bachelor of Science (Renewable Energy),"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
159,Bachelor of Science (Renewable Energy Technology and Management),"Mathematics, Physics, Chemistry, Business Studies","Environmental analysis, Problem-solving, Management, Sustainability"
160,Bachelor of Science (Applied Bioengineering),"Mathematics, Physics, Chemistry, Biology","Biomedical design, Problem-solving, Technical skills, Innovation"
161,Bachelor of Science in Applied Bioengineering,"Mathematics, Physics, Chemistry, Biology","Biomedical design, Problem-solving, Technical skills, Innovation"
162,Bachelor of Science (Telecommunication and Information Engineering),"Mathematics, Physics, Chemistry, Computer Studies","Telecommunication systems, Problem-solving, Technical skills, Innovation"
163,Bachelor of Science in Telecommunication and Information Engineering,"Mathematics, Physics, Chemistry, Computer Studies","Telecommunication systems, Problem-solving, Technical skills, Innovation"
164,Bachelor of Science (Biomedical Engineering),"Mathematics, Physics, Chemistry, Biology","Biomedical design, Problem-solving, Technical skills, Innovation"
165,Bachelor of Science (Renewable Energy and Bio-fuels Technology),"Mathematics, Physics, Chemistry, Biology","Environmental analysis, Problem-solving, Technical skills, Sustainability"
166,Bachelor of Science (Renewable Energy and Biofuels Technology),"Mathematics, Physics, Chemistry, Biology","Environmental analysis, Problem-solving, Technical skills, Sustainability"
167,Bachelor of Science (Manufacturing Engineering & Technology),"Mathematics, Physics, Chemistry, Computer Studies","Manufacturing design, Problem-solving, Technical skills, Innovation"
168,Bachelor of Science (Applied Optics and Lasers),"Mathematics, Physics, Chemistry","Optical design, Problem-solving, Technical skills, Innovation"
169,Bachelor of Science (Energy Technology),"Mathematics, Physics, Chemistry","Energy systems, Problem-solving, Technical skills, Innovation"
170,Bachelor of Science (Electronics),"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
171,Bachelor of Science Engineering Physics,"Mathematics, Physics, Chemistry","Technical design, Problem-solving, Research, Innovation"
172,Bachelor of Science in Engineering Physics,"Mathematics, Physics, Chemistry","Technical design, Problem-solving, Research, Innovation"
173,Bachelor of Science (Agricultural and Biosystems Engineering),"Mathematics, Physics, Chemistry, Biology, Agriculture","Agricultural systems, Problem-solving, Technical skills, Innovation"
174,Bachelor of Engineering (Agricultural & Bio-systems Engineering),"Mathematics, Physics, Chemistry, Biology, Agriculture","Agricultural systems, Problem-solving, Technical skills, Innovation"
175,Bachelor of Science (Agricultural & Bio-systems Engineering),"Mathematics, Physics, Chemistry, Biology, Agriculture","Agricultural systems, Problem-solving, Technical skills, Innovation"
176,Bachelor of Science in Agricultural and Biosystems Engineering,"Mathematics, Physics, Chemistry, Biology, Agriculture","Agricultural systems, Problem-solving, Technical skills, Innovation"
177,Bachelor of Technology (Civil Engineering Technology),"Mathematics, Physics, Chemistry","Structural design, Problem-solving, Technical skills, Innovation"
178,Bachelor of Technology in Electrical and Electronic Engineering,"Mathematics, Physics, Chemistry, Computer Studies","Circuit design, Problem-solving, Technical skills, Innovation"
179,Bachelor of Technology in Medical Engineering,"Mathematics, Physics, Chemistry, Biology","Biomedical design, Problem-solving, Technical skills, Innovation"
180,Bachelor of Industrial Technology,"Mathematics, Physics, Chemistry","Industrial design, Problem-solving, Technical skills, Innovation"
181,Bachelor of Science (Renewable Energy and Technology),"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
182,Bachelor of Science in Renewable Energy and Technology,"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
183,Bachelor of Technology in Renewable Energy & Environmental Physics,"Mathematics, Physics, Chemistry, Geography","Environmental analysis, Problem-solving, Technical skills, Sustainability"
184,Bachelor of Technology (Chemical Engineering),"Mathematics, Physics, Chemistry","Chemical analysis, Process design, Problem-solving, Innovation"
185,Bachelor of Education in Technology (Civil Engineering),"Mathematics, Physics, Chemistry, English/Kiswahili","Teaching skills, Technical design, Problem-solving, Communication"
186,Bachelor of Education in Technology (Mechanical Engineering),"Mathematics, Physics, Chemistry, English/Kiswahili","Teaching skills, Mechanical design, Problem-solving, Communication"
187,Bachelor of Education in Technology (Electrical & Electronics Engineering),"Mathematics, Physics, Chemistry, English/Kiswahili","Teaching skills, Circuit design, Problem-solving, Communication"
188,Bachelor of Education Technical and Vocational Education,"Mathematics, Physics, Chemistry, English/Kiswahili","Teaching skills, Technical skills, Problem-solving, Communication"
189,Bachelor of Education (ICT),"Mathematics, Physics, Computer Studies, English/Kiswahili","Teaching skills, Technology proficiency, Problem-solving, Communication"
190,Bachelor of Education (Technology),"Mathematics, Physics, Chemistry, English/Kiswahili","Teaching skills, Technical design, Problem-solving, Communication"
191,Bachelor of Education (Technology Education),"Mathematics, Physics, Chemistry, English/Kiswahili","Teaching skills, Technical design, Problem-solving, Communication"
192,Bachelor of Architectural Studies/Bachelor of Architecture,"Mathematics, Physics, English/Kiswahili, Art and Design","Architectural design, Creativity, Problem-solving, Communication"
193,Bachelor of Quantity Surveying,"Mathematics, Physics, English/Kiswahili, Geography","Quantity estimation, Problem-solving, Communication, Technical skills"
194,Bachelor of Architecture,"Mathematics, Physics, English/Kiswahili, Art and Design","Architectural design, Creativity, Problem-solving, Communication"
195,Bachelor of Science (Quantity Surveying),"Mathematics, Physics, English/Kiswahili, Geography","Quantity estimation, Problem-solving, Communication, Technical skills"
196,Bachelor of Architectural Technology,"Mathematics, Physics, English/Kiswahili, Art and Design","Architectural design, Creativity, Problem-solving, Communication"
